country,PMD,HAD,OZD,USD,UWD,PBD,MSW,TBN,TBG,MPA,PAR,SHI,SPI,BHV,TCL,GRL,WTL,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,SNM,WWT
Afghanistan,25.4,7.3,16.9,28.5,27.7,0,0,0.6,1.3,23.2,5,90.7,18,57.7,95,60.9,100,0,66.1,69.4,34.1,15.7,100,50.6,100,0,0,51,0
Angola,32.6,17.8,34.4,14.1,11.9,37.3,0,34.1,36.6,0,29.8,88.3,66.6,67.2,31.2,49.3,63.5,30.3,100,89.3,63.2,7.1,27.2,53.9,60.3,5.2,0,29.3,0
Albania,44.2,34.6,60.1,59.7,50.2,46.1,0,100,100,14.7,38.6,82.1,92.2,39.6,41.1,70.2,54.4,41.2,79.2,89.4,61.9,100,78.4,36.4,58.3,100,100,37.6,2.7
United Arab Emirates,13.9,100,18.8,90.5,51.6,54.3,26.8,90.4,90.4,100,8.9,81.3,80.3,76.8,69.5,100,100,26.5,52.7,92.6,41.7,74.4,15,19.8,0,100,66.7,13.7,76.8
Argentina,54.7,60.9,48.7,72.7,59.3,73.1,44.6,41.7,56.7,43,16.2,69.4,64.3,58.9,27.6,47.3,44.5,48.2,88.1,90.7,58,90.3,57.8,36.2,29.8,67.3,51.3,78.4,5.9
Armenia,22.1,57,26.1,50.7,61.5,50.8,0,100,100,71.5,19,92.4,74.5,48,82.4,45.8,100,39.3,54.7,89.4,0,57.6,97.3,23,60.3,50.6,43,57.6,8.8
Antigua and Barbuda,44.6,69.8,100,57.5,45,60.5,75.1,90.3,87.3,1.2,53.8,82.1,48.3,34,35.4,39.8,100,48.4,100,89.8,77.8,0,79.7,22,35.2,28.2,45,5.1,1.3
Australia,100,98.8,73.8,96,81,77.2,77.3,89,82.5,100,40.4,87.3,92.4,73.4,24.5,44,72.9,66.7,85.8,90.9,70.1,56.9,89.3,62.5,0,92.4,88.2,49.2,92.7
Austria,73.9,96.4,42.2,86.7,100,91.7,97.2,100,100,100,63.7,84.7,81.2,54.7,32.5,69.9,57.3,62.8,100,87.8,66.9,100,76.7,42.7,23,100,100,68,94
Azerbaijan,12.7,40.7,33.1,44.3,46.4,41,0,50.7,62.2,71.3,11.7,96,77.3,44.4,80.2,65.2,100,42.4,43.8,88.9,60.9,37.4,100,27.7,40.3,100,100,64.3,3.8
